Time [s],Humidity
0.893,58
1.421,58
1.943,58
2.471,58
2.999,58
3.53,58
4.027,57
4.557,57
5.103,57
5.61,57
6.136,57
6.659,57
7.19,57
7.698,57
8.23,56
8.73,56
9.25,56
9.794,56
10.32,56
10.832,56
11.362,56
11.889,56
12.419,56
12.916,56
13.445,55
13.975,55
14.5,55
15.026,55
15.551,55
16.05,55
16.575,55
17.104,55
17.633,55
18.161,55
19.687,55
19.183,55
19.708,54
20.237,55
20.771,55
21.301,55
21.794,55
22.323,55
22.851,55
23.38,55
23.908,54
24.438,54
24.935,54
25.462,54
25.989,54
26.518,54
27.048,54
27.544,54
28.074,54
28.599,54
29.128,54
29.657,54
30.187,54
30.682,54
31.211,54
31.739,54
32.262,54
32.794,54
33.322,54
33.816,54
34.345,54
34.87,53
35.395,53
35.923,53
36.454,53
36.981,53
37.48,53
38.009,53
38.536,53
39.062,53
39.59,53
40.12,53
40.643,53
41.139,53
41.663,53
42.194,53
42.723,53
43.251,53
43.746,53
44.273,53
44.8,53
45.329,53
45.852,53
46.38,53
46.909,53
47.405,53
47.933,53
48.463,53
48.992,53
49.517,53
50.048,53
50.543,53
51.072,53
51.598,53
52.125,53
52.654,53
53.183,53
53.71,53
54.206,53
54.733,53
55.265,53
55.789,53
56.317,53
56.813,53
57.341,53
57.87,53
58.398,53
58.929,53
59.422,53
59.952,53
60.477,53
61.006,53
61.534,53
62.064,53
62.56,53
63.091,53
63.618,53
64.146,53
64.678,53
65.175,53
65.703,53
66.232,53
66.76,53
67.288,53
67.817,53
68.316,53
68.845,53
69.372,53
69.898,53
70.43,53
70.924,53
71.454,53
71.983,53
72.511,53
73.035,53
73.531,53
74.058,54
74.583,54
75.107,54
75.639,54
76.167,54
76.696,54
77.192,54
77.722,54
78.246,54
78.778,54
79.311,54
79.808,54
80.335,54
80.877,54
81.405,54
81.903,54
82.43,54
82.957,54
83.487,54
84.016,54
84.514,54
85.042,54
85.571,54
86.094,54
86.617,54
87.148,54
87.645,54
88.171,54
88.697,54
89.225,54
89.754,54
90.285,54
90.783,54
91.307,54
91.835,54
92.363,54
92.888,54
93.416,54
93.946,54
94.442,54
94.97,54
95.497,54
96.028,54
96.555,54
97.049,54
97.572,54
98.099,54
98.629,54
99.158,54
99.686,54
100.213,54
100.708,54
101.235,54
101.763,54
102.29,54
102.814,54
103.346,54
103.875,54
104.373,54
104.9,54
105.424,54
105.952,54
106.478,54
107.005,54
107.532,54
108.03,55
108.558,55
109.086,55
109.614,55
110.145,55
110.64,55
111.165,55
111.693,55
112.22,55
112.754,55
113.275,55
113.808,55
114.302,55
114.826,55
115.379,55
115.872,55
116.399,55
116.924,55
117.457,55
117.98,55
118.508,55
119.031,55
119.526,55
120.053,55
120.581,55
121.112,55
121.637,56
122.165,56
122.691,56
123.187,56
123.715,57
124.255,58
124.777,58
125.304,59
125.824,59
126.349,60
126.845,61
127.376,62
127.901,63
128.431,63
128.958,64
129.486,65
129.98,66
130.506,66
131.028,67
131.557,68
132.085,68
132.614,69
133.142,70
133.637,70
134.162,71
134.682,71
135.212,72
135.738,73
136.263,73
136.791,73
137.321,74
137.817,74
138.346,75
138.87,75
139.395,76
139.923,76
140.45,76
140.977,77
141.503,77
142.003,78
142.528,78
143.056,79
143.583,79
144.111,79
144.637,79
145.165,79
145.668,80
146.196,80
146.721,80
147.246,81
147.778,81
148.269,82
148.917,82
149.413,82
149.922,83
150.39,83
150.884,83
151.412,83
151.94,84
152.466,84
152.997,84
153.526,84
154.022,85
154.55,85
155.079,85
155.608,85
156.133,85
156.66,85
157.184,85
157.71,86
158.198,86
158.754,86
159.25,86
159.777,86
160.308,86
160.835,86
161.365,86
161.861,87
162.387,87
162.911,87
163.439,87
163.965,87
164.49,87
165.018,87
165.541,87
166.071,87
166.565,87
167.092,87
167.621,88
168.147,88
168.661,88
169.189,88
169.721,87
170.248,87
170.743,88
171.278,88
171.809,88
172.337,88
172.833,88
173.359,88
173.89,88
174.416,88
174.943,88
175.471,88
175.967,88
176.492,88
177.017,88
177.542,88
178.074,88
178.616,88
179.127,88
179.651,88
180.18,88
180.676,88
181.202,88
181.772,89
182.267,88
182.761,88
183.289,88
183.812,88
184.338,88
184.87,88
185.395,88
185.924,88
186.45,89
186.951,89
187.472,89
188.001,89
188.528,89
189.053,88
189.581,88
190.077,88
190.6,88
191.122,88
191.658,88
192.181,88
192.707,89
193.236,89
193.765,89
194.258,89
194.782,89
195.311,89
195.84,89
196.366,89
196.895,89
197.425,88
197.92,88
198.446,88
198.972,88
199.504,89
200.028,88
200.528,88
201.055,89
201.582,89
202.109,89
202.634,89
203.162,89
203.692,89
204.215,89
204.713,89
205.239,89
205.767,89
206.293,88
206.823,88
207.349,88
207.845,88
208.376,88
208.904,88
209.431,88
209.96,88
210.453,88
210.976,88
211.504,88
212.03,88
212.561,88
213.089,89
213.617,89
214.113,88
214.641,88
215.172,89
215.703,89
216.237,89
216.735,89
217.263,88
217.794,88
218.321,88
218.819,88
219.356,88
219.891,88
220.419,88
220.932,88
221.429,88
221.954,88
222.48,88
223.003,88
223.53,88
224.052,88
224.588,88
225.114,88
225.608,88
226.142,88
226.667,88
227.193,88
227.725,88
228.25,88
228.747,88
229.277,88
229.805,88
230.332,88
230.862,88
231.353,88
231.884,88
232.415,88
232.945,88
233.473,88
233.969,88
234.494,88
235.021,88
235.551,88
236.079,88
236.605,88
237.098,88
237.64,88
238.168,88
238.674,88
239.192,88
239.722,88
240.254,88
240.774,88
241.302,88
241.829,88
242.324,88
242.856,88
243.384,88
243.905,88
244.437,88
244.94,88
245.473,88
245.992,88
246.516,88
247.041,88
247.568,88
248.1,88
248.594,88
249.123,88
249.651,88
250.182,89
250.682,88
251.222,89
251.748,89
252.247,88
252.777,88
253.302,88
253.833,88
